0,1,2,3,4,5,6,7,8,9,10,11,12,13
57,33,single,tertiary,no,2155,no,no,cellular,295,1,-1,0,unknown,0
58,36,single,secondary,no,101,yes,yes,unknown,314,1,-1,0,unknown,0
59,54,divorced,secondary,no,784,yes,yes,unknown,579,1,-1,0,unknown,0
60,41,married,primary,no,-516,no,yes,telephone,554,3,-1,0,unknown,0
61,63,married,secondary,no,415,yes,no,cellular,323,1,-1,0,unknown,0
62,48,married,tertiary,no,5887,no,no,cellular,227,2,-1,0,unknown,0
63,48,married,secondary,no,1355,no,no,cellular,134,2,-1,0,unknown,0
64,56,married,secondary,no,16873,no,no,cellular,223,1,-1,0,unknown,0
65,51,divorced,secondary,no,203,yes,no,cellular,134,1,170,5,failure,0
66,31,married,secondary,no,338,yes,no,cellular,155,1,-1,0,unknown,0
67,29,married,secondary,no,444,yes,no,cellular,130,4,-1,0,unknown,0
68,41,married,secondary,no,0,no,yes,cellular,630,3,-1,0,unknown,0
69,32,single,tertiary,no,360,no,no,cellular,164,2,-1,0,unknown,0
70,37,married,tertiary,no,0,no,no,cellular,268,2,182,3,success,1
71,42,divorced,tertiary,yes,2,yes,no,unknown,380,1,-1,0,unknown,0
72,31,single,tertiary,no,6248,yes,no,unknown,154,2,-1,0,unknown,0
73,41,married,tertiary,no,412,yes,no,unknown,154,5,-1,0,unknown,0
74,56,married,secondary,no,344,yes,no,unknown,221,1,-1,0,unknown,0
75,54,divorced,tertiary,no,3222,no,no,cellular,67,2,-1,0,unknown,0
76,41,divorced,secondary,no,174,yes,no,cellular,367,2,297,1,other,0
77,40,single,secondary,no,591,no,yes,cellular,87,6,-1,0,unknown,0
78,50,divorced,primary,no,388,no,no,cellular,701,1,-1,0,unknown,0
79,40,married,secondary,no,219,yes,no,cellular,204,2,196,1,failure,0
80,27,divorced,secondary,no,451,yes,no,cellular,652,1,-1,0,unknown,1
81,60,married,primary,no,5,no,no,cellular,63,2,-1,0,unknown,0
82,28,single,secondary,no,177,yes,yes,cellular,150,1,-1,0,unknown,0
83,52,married,secondary,no,657,no,no,telephone,398,2,460,2,failure,1
84,37,married,tertiary,no,1315,no,no,cellular,224,1,-1,0,unknown,1
85,51,married,primary,no,1466,yes,no,unknown,406,2,-1,0,unknown,0
86,41,single,secondary,no,879,no,yes,cellular,60,4,-1,0,unknown,0
87,35,single,primary,no,293,yes,no,unknown,521,2,-1,0,unknown,0
88,38,married,secondary,no,424,yes,no,cellular,279,1,-1,0,unknown,0
89,34,married,secondary,no,1831,yes,no,unknown,203,2,-1,0,unknown,0
90,39,married,primary,no,111,no,no,cellular,201,2,-1,0,unknown,0
91,34,married,primary,no,455,yes,no,unknown,372,3,-1,0,unknown,0
92,27,single,secondary,no,-195,yes,no,cellular,391,1,-1,0,unknown,1
93,32,single,tertiary,no,3616,no,no,cellular,165,2,-1,0,unknown,0
94,57,married,secondary,no,14093,no,no,cellular,231,5,-1,0,unknown,0
95,41,single,tertiary,no,1567,no,no,cellular,291,2,-1,0,unknown,0
96,41,married,tertiary,no,5426,yes,no,unknown,149,2,-1,0,unknown,0
97,30,single,tertiary,no,261,no,no,cellular,233,1,137,20,failure,0
98,36,divorced,secondary,no,2843,no,no,cellular,473,1,182,1,success,0
99,31,single,primary,no,406,no,no,cellular,736,1,-1,0,unknown,1
100,36,married,secondary,no,0,yes,no,unknown,337,1,-1,0,unknown,0
101,38,single,tertiary,no,493,yes,no,cellular,553,1,367,7,failure,0
102,49,married,secondary,no,5996,no,no,telephone,345,2,-1,0,unknown,0
103,57,single,primary,no,3777,yes,no,telephone,65,2,-1,0,unknown,0
104,34,single,secondary,no,524,no,no,unknown,9,1,-1,0,unknown,0
105,32,single,tertiary,no,574,yes,no,cellular,259,2,145,3,failure,0
106,37,married,secondary,no,427,yes,yes,unknown,371,3,-1,0,unknown,0
107,33,married,tertiary,no,483,yes,no,cellular,280,2,-1,0,unknown,0
108,56,married,primary,no,3391,no,no,cellular,243,1,-1,0,unknown,1
109,27,married,primary,no,0,yes,no,cellular,435,3,-1,0,unknown,0
110,21,single,secondary,no,2488,no,no,cellular,258,6,169,3,success,1
111,58,married,tertiary,no,1517,yes,no,telephone,7,5,-1,0,unknown,0
112,32,married,secondary,no,217,yes,yes,cellular,317,5,-1,0,unknown,0
113,33,single,secondary,no,22,no,no,cellular,76,2,207,1,failure,0
114,25,single,secondary,no,331,no,no,telephone,170,4,-1,0,unknown,1
115,25,single,secondary,no,505,no,yes,cellular,386,2,-1,0,unknown,1
116,30,married,secondary,no,1808,yes,no,cellular,83,2,-1,0,unknown,0
117,22,single,secondary,no,4111,no,yes,cellular,65,1,-1,0,unknown,0
118,39,married,primary,no,52,no,no,cellular,69,1,-1,0,unknown,0
119,46,divorced,tertiary,no,25,no,no,unknown,564,2,-1,0,unknown,0
120,31,divorced,secondary,no,1890,yes,no,cellular,588,1,-1,0,unknown,0
121,45,married,primary,no,419,no,no,cellular,113,4,-1,0,unknown,0
122,32,married,secondary,no,2693,yes,no,unknown,16,1,-1,0,unknown,0
123,36,married,secondary,no,-231,no,yes,cellular,779,2,-1,0,unknown,0
124,51,single,tertiary,yes,-55,yes,no,cellular,281,2,266,6,failure,0
125,34,single,tertiary,no,462,no,no,cellular,1877,3,-1,0,unknown,1
126,24,single,secondary,no,119,no,no,unknown,51,1,-1,0,unknown,0
127,45,single,secondary,no,586,no,yes,cellular,32,3,-1,0,unknown,0
128,32,single,secondary,no,228,no,no,telephone,176,1,288,3,failure,0
129,77,divorced,tertiary,no,4659,no,no,cellular,161,1,-1,0,unknown,1
130,41,married,primary,no,168,yes,no,cellular,187,3,-1,0,unknown,0
131,37,married,primary,no,0,yes,no,unknown,24,1,-1,0,unknown,0
132,43,married,unknown,yes,-715,yes,no,unknown,67,3,-1,0,unknown,0
133,48,married,unknown,no,0,yes,no,cellular,85,1,168,2,failure,0
134,27,single,secondary,no,769,yes,no,unknown,317,2,-1,0,unknown,0
135,33,single,tertiary,no,0,no,no,cellular,236,10,-1,0,unknown,0
136,29,single,secondary,no,428,yes,yes,cellular,54,1,345,2,failure,0
137,34,single,tertiary,no,0,no,no,cellular,71,1,-1,0,unknown,0
138,52,married,tertiary,no,-970,yes,no,cellular,489,1,-1,0,unknown,1
139,60,married,unknown,no,6313,no,no,unknown,39,2,-1,0,unknown,0
140,32,divorced,tertiary,no,948,no,no,cellular,204,2,-1,0,unknown,0
141,32,single,tertiary,no,0,yes,no,cellular,455,2,-1,0,unknown,0
142,56,divorced,unknown,no,1877,yes,no,unknown,86,1,-1,0,unknown,0
143,31,single,tertiary,no,874,yes,no,cellular,190,2,-1,0,unknown,0
144,42,married,secondary,no,323,yes,yes,unknown,280,2,-1,0,unknown,0
145,35,married,tertiary,no,106,no,yes,cellular,588,2,-1,0,unknown,0
146,56,married,primary,no,1906,no,yes,unknown,45,9,-1,0,unknown,0
147,48,married,secondary,no,1152,yes,no,cellular,168,5,-1,0,unknown,0
148,46,married,secondary,no,179,yes,no,cellular,194,4,436,1,other,0
149,37,single,unknown,no,391,yes,no,unknown,103,3,-1,0,unknown,0
150,41,married,unknown,no,89,yes,no,unknown,333,2,-1,0,unknown,0
151,36,single,tertiary,no,442,yes,yes,cellular,102,3,-1,0,unknown,0
152,45,divorced,primary,yes,-249,yes,yes,unknown,92,1,-1,0,unknown,0
153,55,married,secondary,no,8104,no,no,cellular,213,2,-1,0,unknown,0
154,39,married,secondary,no,501,no,no,unknown,289,1,-1,0,unknown,0
155,35,divorced,secondary,no,308,no,no,cellular,77,2,-1,0,unknown,0
156,55,married,secondary,no,602,no,no,cellular,324,3,90,2,success,1
157,55,married,secondary,no,273,yes,no,cellular,84,3,183,3,failure,0
158,27,single,secondary,no,50,no,no,cellular,168,1,-1,0,unknown,0
159,34,married,secondary,no,1641,yes,no,cellular,380,1,-1,0,unknown,0
160,34,married,tertiary,no,20,no,no,unknown,10,1,-1,0,unknown,0
161,25,single,secondary,no,4590,yes,no,unknown,199,2,-1,0,unknown,0
162,41,single,secondary,no,-256,no,yes,unknown,35,3,-1,0,unknown,0
163,43,married,secondary,no,978,yes,yes,unknown,82,2,-1,0,unknown,0
164,28,single,tertiary,no,80,no,no,cellular,676,2,146,2,failure,1
165,31,single,secondary,no,2104,yes,no,unknown,455,1,-1,0,unknown,0
166,78,married,secondary,no,499,no,no,telephone,80,4,-1,0,unknown,0
167,45,divorced,secondary,no,1269,yes,no,cellular,549,2,-1,0,unknown,0
168,48,married,tertiary,no,310,no,no,unknown,135,1,-1,0,unknown,0
169,32,single,secondary,no,1143,yes,yes,cellular,412,1,-1,0,unknown,0
170,42,married,secondary,no,2980,no,no,unknown,101,3,-1,0,unknown,0
171,37,single,tertiary,no,37,no,no,cellular,253,2,-1,0,unknown,0
172,40,single,secondary,no,462,yes,yes,cellular,272,1,335,4,other,0
173,32,married,secondary,no,1031,yes,no,cellular,84,1,-1,0,unknown,0
174,42,married,tertiary,no,9009,no,no,cellular,135,2,-1,0,unknown,0
175,43,married,secondary,no,-465,yes,yes,cellular,166,1,-1,0,unknown,0
176,44,married,secondary,no,5181,yes,yes,cellular,18,7,-1,0,unknown,0
177,37,married,secondary,no,176,yes,no,cellular,147,2,347,1,failure,0
178,37,married,unknown,no,1699,no,no,unknown,63,1,-1,0,unknown,0
179,37,married,tertiary,no,0,yes,no,cellular,65,2,119,1,failure,0
180,28,single,tertiary,no,172,yes,yes,cellular,194,2,-1,0,unknown,0
181,32,single,secondary,no,0,no,yes,cellular,333,2,-1,0,unknown,0
182,34,single,secondary,no,6979,yes,no,cellular,14,5,-1,0,unknown,0
183,40,divorced,secondary,no,6,no,no,unknown,140,1,-1,0,unknown,0
184,34,married,secondary,no,-62,yes,no,unknown,109,3,-1,0,unknown,0
185,34,married,tertiary,no,1972,yes,no,cellular,61,2,-1,0,unknown,0
186,34,married,tertiary,no,899,yes,no,telephone,377,3,7,4,success,0
187,37,single,secondary,no,21,yes,no,cellular,96,1,271,2,other,0
188,36,married,secondary,no,23,yes,no,cellular,152,2,347,1,failure,0
189,56,married,secondary,no,-1206,yes,no,cellular,382,2,-1,0,unknown,1
190,49,married,primary,no,0,yes,yes,telephone,97,6,-1,0,unknown,0
191,33,married,secondary,no,215,yes,no,cellular,543,12,-1,0,unknown,0
192,30,single,tertiary,no,1372,no,no,cellular,240,2,-1,0,unknown,0
193,36,married,secondary,no,1981,no,no,unknown,48,2,-1,0,unknown,0
194,23,single,secondary,no,9216,no,no,cellular,471,2,-1,0,unknown,0
195,57,divorced,secondary,no,39,yes,no,cellular,354,3,-1,0,unknown,0
196,27,single,secondary,no,5563,yes,no,unknown,435,2,-1,0,unknown,0
197,38,married,secondary,no,1,no,yes,cellular,152,2,-1,0,unknown,0
198,42,married,tertiary,no,782,no,no,cellular,285,1,-1,0,unknown,0
199,75,married,secondary,no,3771,no,no,telephone,185,1,181,2,success,1
200,34,single,tertiary,no,992,yes,no,cellular,301,1,88,2,success,0
201,48,married,secondary,no,1526,no,no,cellular,273,2,-1,0,unknown,0
202,35,single,tertiary,no,2658,yes,no,cellular,768,2,141,3,failure,1
203,39,divorced,tertiary,no,1315,yes,no,cellular,1337,4,126,1,failure,0
204,29,single,tertiary,no,455,no,no,telephone,403,1,-1,0,unknown,1
205,45,single,tertiary,no,0,yes,no,cellular,139,2,-1,0,unknown,0
206,42,married,secondary,no,2030,yes,yes,cellular,196,1,-1,0,unknown,0
207,29,married,secondary,no,1599,yes,no,cellular,115,1,61,1,failure,0
208,38,single,secondary,no,-196,yes,no,cellular,60,1,271,1,failure,0
209,56,married,secondary,no,1333,no,no,cellular,17,14,-1,0,unknown,0
210,36,single,secondary,no,9149,yes,no,cellular,141,3,-1,0,unknown,0
211,25,single,secondary,no,-350,yes,no,unknown,95,3,-1,0,unknown,0
212,38,married,tertiary,no,432,yes,no,cellular,10,2,373,1,other,0
213,57,married,secondary,no,11494,no,no,cellular,198,1,-1,0,unknown,0
214,31,married,tertiary,yes,-253,no,no,cellular,220,4,-1,0,unknown,0
215,42,married,tertiary,no,372,yes,no,cellular,654,2,-1,0,unknown,1
216,45,married,secondary,no,1410,no,no,cellular,71,2,-1,0,unknown,0
217,30,married,secondary,no,975,yes,no,cellular,256,2,351,2,failure,0
218,49,married,primary,no,305,yes,yes,telephone,834,10,-1,0,unknown,0
219,49,married,secondary,no,400,no,no,cellular,151,3,-1,0,unknown,0
220,53,married,tertiary,no,-22,yes,no,cellular,20,3,-1,0,unknown,0
221,37,married,secondary,no,4030,yes,no,unknown,178,5,-1,0,unknown,0
222,49,married,primary,no,365,no,no,unknown,59,2,-1,0,unknown,0
223,41,married,primary,no,204,no,no,cellular,111,7,-1,0,unknown,0
224,54,married,primary,no,1691,yes,no,cellular,186,1,-1,0,unknown,0
225,32,single,secondary,no,406,yes,no,unknown,227,1,-1,0,unknown,0
226,33,married,secondary,no,-204,no,no,cellular,297,3,-1,0,unknown,0
227,33,married,secondary,no,359,yes,no,cellular,210,1,242,1,other,0
228,36,married,primary,no,123,yes,no,cellular,9,1,-1,0,unknown,0
229,35,married,tertiary,no,0,yes,yes,cellular,112,1,62,6,other,0
230,52,married,secondary,no,142,no,no,cellular,112,6,-1,0,unknown,0
231,40,married,tertiary,no,3571,no,no,unknown,222,3,-1,0,unknown,0
232,44,single,secondary,no,33,yes,no,cellular,195,3,351,10,failure,0
233,45,single,secondary,no,0,yes,no,cellular,768,2,91,5,success,0
234,30,single,secondary,no,3096,no,no,cellular,123,1,-1,0,unknown,0
235,48,divorced,secondary,yes,20,no,no,cellular,145,3,-1,0,unknown,0
236,33,married,secondary,no,3576,yes,no,cellular,124,1,308,2,other,0
237,57,married,unknown,no,206,yes,no,unknown,216,3,-1,0,unknown,0
238,57,married,primary,no,7082,no,no,unknown,69,3,-1,0,unknown,0
239,51,married,tertiary,no,1634,yes,no,cellular,168,4,-1,0,unknown,0
240,34,single,secondary,no,1,yes,no,cellular,483,7,-1,0,unknown,0
241,50,married,tertiary,no,4012,no,no,cellular,690,3,-1,0,unknown,0
242,44,married,tertiary,no,3762,no,no,cellular,125,12,-1,0,unknown,0
243,27,married,secondary,no,-247,yes,yes,unknown,344,2,-1,0,unknown,0
244,50,married,secondary,no,606,yes,no,unknown,673,2,-1,0,unknown,0
245,36,married,tertiary,no,0,yes,no,cellular,60,1,250,1,other,0
246,42,married,secondary,no,-189,yes,no,unknown,247,2,-1,0,unknown,0
247,32,single,secondary,no,0,no,no,cellular,123,2,-1,0,unknown,0
248,42,married,tertiary,no,484,yes,no,cellular,144,2,-1,0,unknown,0
249,43,married,secondary,no,0,no,yes,cellular,9,2,172,5,failure,0
250,31,married,tertiary,no,395,yes,no,cellular,155,3,-1,0,unknown,0
251,32,married,tertiary,no,2349,no,no,cellular,134,5,-1,0,unknown,0
252,55,divorced,primary,no,410,no,yes,cellular,221,2,-1,0,unknown,0
253,58,married,primary,no,3401,yes,no,cellular,84,3,265,2,failure,0
254,46,married,primary,no,222,no,no,cellular,71,2,-1,0,unknown,0
255,55,married,secondary,no,989,yes,yes,unknown,246,4,-1,0,unknown,0
256,34,married,tertiary,no,415,no,yes,cellular,361,2,-1,0,unknown,0
257,28,single,secondary,no,16,no,no,cellular,119,4,-1,0,unknown,0
258,42,divorced,tertiary,no,7190,yes,no,cellular,375,2,-1,0,unknown,0
259,29,single,secondary,no,482,no,yes,cellular,1097,3,-1,0,unknown,1
260,54,married,secondary,no,209,yes,yes,cellular,97,1,-1,0,unknown,0
261,32,single,secondary,no,0,no,no,cellular,181,2,-1,0,unknown,0
262,39,single,tertiary,no,5803,no,no,cellular,83,3,-1,0,unknown,0
263,53,married,tertiary,no,624,no,yes,cellular,180,4,-1,0,unknown,0
264,58,married,tertiary,no,883,no,no,cellular,543,1,78,2,failure,0
265,40,married,secondary,no,1516,yes,yes,unknown,373,1,-1,0,unknown,0
266,29,single,secondary,no,872,yes,no,unknown,230,1,-1,0,unknown,0
267,33,married,tertiary,no,-988,yes,yes,cellular,83,3,-1,0,unknown,0
268,38,single,secondary,no,902,yes,no,telephone,58,13,-1,0,unknown,0
269,56,divorced,secondary,no,1007,no,no,cellular,88,6,-1,0,unknown,0
270,40,married,secondary,no,0,yes,no,cellular,297,1,28,3,failure,0
271,24,single,secondary,no,174,yes,yes,cellular,487,1,-1,0,unknown,1
272,46,married,secondary,no,12186,no,no,unknown,29,3,-1,0,unknown,0
273,35,married,secondary,no,524,yes,no,cellular,484,4,-1,0,unknown,0
274,35,single,tertiary,no,0,yes,no,cellular,262,4,-1,0,unknown,0
275,34,married,secondary,no,4,yes,no,unknown,644,1,-1,0,unknown,0
276,35,married,tertiary,no,11219,no,no,cellular,699,2,79,1,failure,0
277,38,single,tertiary,no,0,no,no,cellular,247,2,-1,0,unknown,0
278,50,married,primary,no,5776,no,no,cellular,49,3,-1,0,unknown,0
279,51,divorced,primary,no,37,yes,no,cellular,341,1,-1,0,unknown,0
280,59,married,tertiary,no,593,no,no,unknown,64,2,-1,0,unknown,0
281,32,married,secondary,no,1148,yes,no,cellular,121,1,-1,0,unknown,0
282,37,single,secondary,no,3561,yes,no,unknown,98,1,-1,0,unknown,0
283,42,divorced,secondary,no,63,no,no,unknown,88,6,-1,0,unknown,0
284,40,married,secondary,no,260,no,no,unknown,197,6,-1,0,unknown,0
285,28,single,tertiary,no,2269,yes,no,unknown,331,1,-1,0,unknown,0
286,47,married,secondary,no,1060,yes,no,unknown,83,3,-1,0,unknown,0
287,27,married,secondary,no,-220,yes,no,unknown,138,2,-1,0,unknown,0
288,41,married,tertiary,no,49,yes,no,cellular,312,5,-1,0,unknown,0
289,34,married,tertiary,no,69,no,yes,cellular,120,3,1,6,success,1
290,50,married,primary,no,4108,yes,no,cellular,526,2,-1,0,unknown,1
291,47,married,secondary,no,480,yes,no,unknown,211,2,-1,0,unknown,0
292,53,married,secondary,no,4994,no,no,cellular,62,6,-1,0,unknown,0
293,53,divorced,secondary,no,0,yes,yes,cellular,135,5,-1,0,unknown,0
294,47,married,tertiary,no,3681,no,no,cellular,101,2,-1,0,unknown,0
295,49,divorced,unknown,yes,-701,yes,no,cellular,988,2,-1,0,unknown,1
296,29,married,tertiary,no,451,no,no,cellular,451,1,-1,0,unknown,0
297,45,divorced,primary,no,-311,yes,no,unknown,1030,1,-1,0,unknown,1
298,38,married,secondary,no,593,yes,yes,cellular,1484,24,-1,0,unknown,1
299,32,married,secondary,no,759,yes,no,cellular,317,5,-1,0,unknown,1
300,70,divorced,primary,no,4531,no,no,cellular,445,1,-1,0,unknown,0
301,65,divorced,primary,no,1840,no,no,cellular,383,2,188,5,failure,0
302,56,married,secondary,no,345,yes,no,telephone,605,1,-1,0,unknown,0
303,35,married,secondary,no,1287,yes,no,cellular,330,2,-1,0,unknown,0
304,56,married,unknown,no,353,no,yes,cellular,171,2,-1,0,unknown,0
305,56,married,secondary,no,205,no,yes,cellular,442,2,-1,0,unknown,0
306,49,married,secondary,no,687,yes,no,cellular,772,1,-1,0,unknown,1
307,38,married,primary,no,1147,yes,yes,unknown,249,5,-1,0,unknown,0
308,35,married,tertiary,no,4286,yes,no,unknown,357,1,-1,0,unknown,0
309,38,married,tertiary,no,605,no,no,cellular,147,2,-1,0,unknown,0
310,49,married,secondary,no,8545,yes,yes,cellular,199,7,167,1,failure,0
311,55,married,unknown,no,559,no,no,cellular,271,2,-1,0,unknown,0
312,43,single,primary,no,2,yes,no,cellular,783,3,-1,0,unknown,0
313,43,married,tertiary,no,2,no,yes,cellular,472,2,-1,0,unknown,0
314,25,single,tertiary,no,760,yes,no,cellular,223,3,89,2,failure,1
315,30,married,primary,no,1317,yes,no,unknown,395,2,-1,0,unknown,0
316,46,married,secondary,no,182,no,no,cellular,56,1,-1,0,unknown,0
317,50,married,primary,no,276,no,yes,unknown,641,6,-1,0,unknown,0
318,35,married,secondary,no,2971,no,no,cellular,429,4,164,2,failure,1
319,26,single,secondary,no,1064,no,no,unknown,113,1,-1,0,unknown,0
320,45,married,unknown,no,1783,no,no,unknown,11,11,-1,0,unknown,0
321,37,married,secondary,no,-67,no,no,cellular,157,1,-1,0,unknown,0
322,60,single,tertiary,no,179,no,yes,cellular,79,4,-1,0,unknown,0
323,38,married,tertiary,no,1199,no,no,cellular,178,1,1,1,success,1
324,47,married,primary,no,214,yes,yes,unknown,168,1,-1,0,unknown,0
325,33,married,secondary,no,6699,no,no,cellular,425,1,462,1,failure,0
326,51,married,secondary,no,1760,no,yes,cellular,162,1,-1,0,unknown,0
327,35,single,tertiary,no,145,yes,no,cellular,799,2,-1,0,unknown,1
328,35,married,secondary,no,978,no,no,cellular,1370,3,209,3,success,1
329,48,single,secondary,no,1150,yes,no,unknown,357,1,-1,0,unknown,0
330,37,married,secondary,no,121,no,no,cellular,22,6,-1,0,unknown,0
331,29,single,tertiary,no,828,yes,no,cellular,215,3,321,3,other,0
332,34,married,secondary,no,244,yes,no,cellular,56,4,-1,0,unknown,0
333,32,married,primary,no,228,yes,no,cellular,1017,6,-1,0,unknown,1
334,30,single,tertiary,no,424,no,no,cellular,298,4,-1,0,unknown,1
335,47,divorced,tertiary,no,447,no,yes,unknown,126,1,-1,0,unknown,0
336,33,married,primary,no,-195,no,no,unknown,9,1,-1,0,unknown,0
337,33,single,tertiary,no,1410,yes,no,cellular,8,1,254,5,failure,0
338,63,married,primary,no,1084,no,no,cellular,201,1,183,1,success,0
339,51,divorced,primary,no,10924,no,no,cellular,106,2,-1,0,unknown,0
340,41,married,tertiary,no,832,yes,yes,cellular,164,1,176,1,failure,0
341,56,married,tertiary,no,478,no,no,cellular,97,1,-1,0,unknown,0
342,60,single,tertiary,no,0,no,yes,cellular,151,1,-1,0,unknown,0
343,41,single,tertiary,no,3950,yes,no,unknown,96,2,-1,0,unknown,0
344,37,single,unknown,no,504,yes,no,cellular,555,1,-1,0,unknown,0
345,36,single,secondary,no,219,yes,yes,cellular,270,2,347,1,failure,0
346,57,married,tertiary,no,1602,no,no,cellular,339,3,-1,0,unknown,0
347,55,married,primary,no,2587,no,no,cellular,328,2,94,2,success,1
348,44,married,secondary,no,0,yes,yes,unknown,159,1,-1,0,unknown,0
349,47,married,tertiary,no,2303,yes,no,cellular,323,2,364,1,failure,0
350,31,married,secondary,no,1660,yes,no,cellular,342,1,-1,0,unknown,0
351,35,married,tertiary,yes,32,yes,no,cellular,180,1,-1,0,unknown,0
352,39,married,tertiary,no,278,no,yes,cellular,60,3,-1,0,unknown,0
353,50,married,tertiary,no,4,no,no,cellular,223,1,96,2,failure,0
354,29,married,tertiary,no,318,yes,no,cellular,1434,2,356,4,failure,0
355,30,single,secondary,no,209,yes,no,unknown,30,2,-1,0,unknown,0
356,46,married,secondary,no,271,yes,no,unknown,134,4,-1,0,unknown,0
357,27,single,unknown,no,3196,no,no,cellular,10,2,-1,0,unknown,0
358,48,divorced,secondary,no,4099,no,no,cellular,397,2,-1,0,unknown,1
359,26,single,secondary,no,2572,yes,no,cellular,620,1,-1,0,unknown,0
360,36,single,tertiary,no,339,no,no,cellular,6,6,-1,0,unknown,0
361,42,married,primary,no,0,yes,yes,cellular,209,2,-1,0,unknown,0
362,50,married,primary,no,395,yes,no,unknown,419,2,-1,0,unknown,0
363,49,married,secondary,no,2039,yes,no,cellular,283,2,-1,0,unknown,0
364,45,married,tertiary,no,5450,no,no,cellular,188,2,-1,0,unknown,0
